iter	Passed	Remaining
0	135	67707
1	139	34646
2	141	23401
3	143	17854
4	146	14460
5	147	12172
6	150	10581
7	152	9373
8	154	8419
9	156	7658
10	159	7072
11	161	6554
12	163	6117
13	165	5746
14	167	5413
15	169	5121
16	171	4873
17	173	4648
18	175	4451
19	177	4264
20	181	4130
21	183	3977
22	184	3835
23	187	3724
24	189	3605
25	191	3493
26	194	3399
27	196	3305
28	198	3217
29	201	3151
30	203	3073
31	205	3010
32	208	2948
33	210	2881
34	212	2826
35	215	2771
36	216	2715
37	219	2671
38	222	2625
39	224	2577
40	226	2540
41	229	2499
42	231	2457
43	234	2427
44	236	2388
45	238	2351
46	240	2320
47	242	2285
48	244	2251
49	247	2223
50	249	2194
51	251	2164
52	254	2142
53	256	2116
54	258	2091
55	261	2069
56	263	2044
57	265	2021
58	267	2001
59	269	1978
60	271	1955
61	274	1937
62	276	1916
63	278	1895
64	281	1881
65	283	1862
66	286	1849
67	288	1834
68	291	1818
69	295	1814
70	297	1797
71	300	1784
72	302	1769
73	304	1752
74	307	1743
75	309	1728
76	312	1718
77	315	1705
78	317	1690
79	320	1680
80	322	1667
81	324	1655
82	328	1649
83	330	1637
84	333	1629
85	335	1616
86	339	1613
87	342	1601
88	344	1589
89	347	1582
90	349	1571
91	354	1569
92	356	1559
93	360	1556
94	362	1545
95	365	1539
96	368	1531
97	370	1521
98	374	1515
99	376	1504
100	379	1499
101	382	1491
102	385	1485
103	388	1477
104	391	1470
105	393	1463
106	395	1454
107	399	1448
108	401	1440
109	404	1432
110	407	1426
111	409	1417
112	412	1412
113	414	1404
114	417	1396
115	419	1388
116	421	1381
117	424	1374
118	427	1367
119	429	1358
120	431	1351
121	434	1344
122	436	1336
123	438	1330
124	441	1324
125	443	1315
126	446	1310
127	448	1303
128	451	1297
129	453	1290
130	455	1282
131	458	1277
132	460	1271
133	462	1264
134	465	1259
135	467	1252
136	470	1245
137	472	1240
138	475	1234
139	479	1232
140	481	1226
141	483	1220
142	486	1214
143	488	1207
144	491	1202
145	493	1196
146	495	1190
147	498	1185
148	500	1179
149	502	1172
150	505	1168
151	507	1161
152	509	1155
153	512	1152
154	515	1146
